Customer ID,Customer Name,Segment,Region,total_sales,total_profit,order_count,last_order_date,recency_days,avg_order_value,customer_value_segment,recency_segment
AA-10315,Alex Avila,Consumer,Central,4780.552,-650.5971000000001,2,2017-06-29,184,2390.276,High Value,Inactive
AA-10315,Alex Avila,Consumer,East,29.5,13.282599999999999,1,2014-09-15,1202,29.5,Low Value,Inactive
AA-10315,Alex Avila,Consumer,West,753.508,274.432,2,2015-10-04,818,376.754,Medium Value,Inactive
AA-10375,Allen Armold,Consumer,Central,178.37,62.0658,1,2015-02-03,1061,178.37,Low Value,Inactive
AA-10375,Allen Armold,Consumer,East,206.732,68.9195,2,2017-12-11,19,103.366,Low Value,Active
AA-10375,Allen Armold,Consumer,South,598.48,127.6256,2,2016-11-14,411,299.24,Medium Value,Inactive
AA-10375,Allen Armold,Consumer,West,72.80799999999999,18.7715,4,2016-07-10,538,18.201999999999998,Low Value,Inactive
AA-10480,Andrew Allen,Consumer,Central,1747.5,420.4986,2,2016-08-26,491,873.75,High Value,Inactive
AA-10480,Andrew Allen,Consumer,East,27.46,9.8856,1,2014-05-04,1336,27.46,Low Value,Inactive
AA-10480,Andrew Allen,Consumer,South,15.552,5.4432,1,2017-04-15,259,15.552,Low Value,Inactive
AA-10645,Anna Andreadi,Consumer,Central,1971.46,439.31379999999996,1,2015-11-17,774,1971.46,High Value,Inactive
AA-10645,Anna Andreadi,Consumer,East,1434.33,77.6417,2,2014-12-01,1125,717.165,High Value,Inactive
AA-10645,Anna Andreadi,Consumer,South,291.73999999999995,79.0364,1,2016-09-04,482,291.73999999999995,Low Value,Inactive
AA-10645,Anna Andreadi,Consumer,West,1389.405,261.8114,2,2017-11-05,55,694.7025,High Value,Active
AB-10015,Aaron Bergman,Consumer,Central,576.564,114.3432,2,2016-11-10,415,288.282,Medium Value,Inactive
AB-10015,Aaron Bergman,Consumer,West,309.592,15.0033,1,2014-03-07,1394,309.592,Medium Value,Inactive
AB-10060,Adam Bellavance,Home Office,Central,240.14999999999998,115.5072,1,2017-11-05,55,240.14999999999998,Low Value,Active
AB-10060,Adam Bellavance,Home Office,East,4487.352,1468.7919,3,2017-09-16,105,1495.7839999999999,High Value,At Risk
AB-10060,Adam Bellavance,Home Office,South,334.2,106.5112,1,2016-03-13,657,334.2,Medium Value,Inactive
AB-10060,Adam Bellavance,Home Office,West,2693.9179999999997,363.77819999999997,3,2017-11-06,54,897.9726666666666,High Value,Active
AB-10105,Adrian Barton,Consumer,Central,12181.594,5362.6135,5,2017-08-03,149,2436.3188,High Value,At Risk
AB-10105,Adrian Barton,Consumer,East,117.96,5.898,1,2016-02-02,697,117.96,Low Value,Inactive
AB-10105,Adrian Barton,Consumer,South,843.84,224.4492,1,2017-11-19,41,843.84,Medium Value,Active
AB-10105,Adrian Barton,Consumer,West,1330.1770000000001,-148.15519999999998,3,2017-09-19,102,443.3923333333334,High Value,At Risk
AB-10150,Aimee Bixby,Consumer,Central,169.188,12.9268,3,2017-11-19,41,56.395999999999994,Low Value,Active
AB-10150,Aimee Bixby,Consumer,East,797.522,300.7329,2,2017-09-04,117,398.761,Medium Value,At Risk
AB-10165,Alan Barnes,Consumer,Central,37.296,-1.0656,1,2014-11-16,1140,37.296,Low Value,Inactive
AB-10165,Alan Barnes,Consumer,East,118.32,28.923000000000002,1,2017-04-14,260,118.32,Low Value,Inactive
AB-10165,Alan Barnes,Consumer,South,163.96,59.4355,1,2017-09-15,106,163.96,Low Value,At Risk
AB-10165,Alan Barnes,Consumer,West,794.2620000000001,133.5201,5,2017-12-05,25,158.85240000000002,Medium Value,Active
AB-10255,Alejandro Ballentine,Home Office,Central,13.616,3.5742,1,2016-06-26,552,13.616,Low Value,Inactive
AB-10255,Alejandro Ballentine,Home Office,East,121.582,36.0953,3,2017-06-02,211,40.52733333333333,Low Value,Inactive
AB-10255,Alejandro Ballentine,Home Office,South,34.34,14.3178,1,2016-12-20,375,34.34,Low Value,Inactive
AB-10255,Alejandro Ballentine,Home Office,West,744.9939999999999,210.58020000000002,4,2017-07-17,166,186.24849999999998,Medium Value,At Risk
AB-10600,Ann Blume,Corporate,Central,14.48,-23.892,1,2014-11-18,1138,14.48,Low Value,Inactive
AB-10600,Ann Blume,Corporate,South,17.088,1.068,1,2015-11-30,761,17.088,Low Value,Inactive
AB-10600,Ann Blume,Corporate,West,1484.2939999999999,-252.13639999999998,2,2017-11-10,50,742.1469999999999,High Value,Active
AC-10420,Alyssa Crouse,Corporate,Central,162.16,-69.062,1,2017-05-12,232,162.16,Low Value,Inactive
AC-10420,Alyssa Crouse,Corporate,East,57.576,21.591,1,2016-02-23,676,57.576,Low Value,Inactive
AC-10420,Alyssa Crouse,Corporate,West,706.064,-14.6632,1,2014-07-12,1267,706.064,Medium Value,Inactive
AC-10450,Amy Cox,Consumer,Central,1793.98,843.1706,1,2017-10-03,88,1793.98,High Value,Active
AC-10450,Amy Cox,Consumer,East,70.212,25.7148,1,2015-11-08,783,70.212,Low Value,Inactive
AC-10450,Amy Cox,Consumer,South,1701.358,32.3741,3,2017-12-19,11,567.1193333333333,High Value,Active
AC-10450,Amy Cox,Consumer,West,1962.296,464.75030000000004,2,2016-11-24,401,981.148,High Value,Inactive
AC-10615,Ann Chong,Corporate,Central,12.768,0.9576,1,2017-03-24,281,12.768,Low Value,Inactive
AC-10615,Ann Chong,Corporate,East,2444.558,272.34770000000003,3,2017-12-24,6,814.8526666666667,High Value,Active
AC-10615,Ann Chong,Corporate,West,80.36,25.522,1,2017-02-23,310,80.36,Low Value,Inactive
AC-10660,Anna Chung,Consumer,Central,179.608,-16.1928,2,2017-03-23,282,89.804,Low Value,Inactive
AC-10660,Anna Chung,Consumer,East,191.34,-4.9704,1,2014-10-15,1172,191.34,Low Value,Inactive
AC-10660,Anna Chung,Consumer,West,286.368,-7.537199999999999,2,2016-06-27,551,143.184,Low Value,Inactive
AD-10180,Alan Dominguez,Home Office,Central,600.558,-8.5794,1,2014-12-26,1100,600.558,Medium Value,Inactive
AD-10180,Alan Dominguez,Home Office,East,1152.982,342.6169,5,2017-12-01,29,230.5964,Medium Value,Active
AD-10180,Alan Dominguez,Home Office,West,4353.34,1535.8919,2,2017-04-30,244,2176.67,High Value,Inactive
AF-10870,Art Ferguson,Consumer,Central,345.656,-98.28410000000001,3,2017-11-19,41,115.21866666666666,Medium Value,Active
AF-10870,Art Ferguson,Consumer,East,1562.086,356.8186,1,2016-05-22,587,1562.086,High Value,Inactive
